benchmark_version,source,target,migration_count,track,code,true_positives,false_positives,false_negatives,precision,recall
2.2.5,requests,aiohttp,8,fault-inject,forbidden_attribute_access,13,0,0,1.0,1.0
2.2.5,requests,aiohttp,8,fault-inject,leftover_source_call,11,0,0,1.0,1.0
2.2.5,requests,aiohttp,8,fault-inject,leftover_source_import,24,0,0,1.0,1.0
2.2.5,requests,aiohttp,8,fault-inject,missing_await,13,0,0,1.0,1.0
2.2.5,requests,aiohttp,8,fault-inject,missing_context_manager,13,0,0,1.0,1.0
2.2.5,requests,aiohttp,8,fault-inject,renamed_attribute_access,13,0,0,1.0,1.0
2.2.5,requests,aiohttp,8,pre-leftover,leftover_source_call,10,0,0,1.0,1.0
2.2.5,requests,aiohttp,8,pre-leftover,leftover_source_import,10,0,0,1.0,1.0
2.2.5,argparse,click,17,fault-inject,forbidden_keyword_argument,30,0,0,1.0,1.0
2.2.5,argparse,click,17,fault-inject,leftover_source_call,29,0,30,1.0,0.4915254237288136
2.2.5,argparse,click,17,fault-inject,leftover_source_import,89,0,0,1.0,1.0
2.2.5,argparse,click,17,pre-leftover,leftover_source_call,31,0,0,1.0,1.0
2.2.5,argparse,click,17,pre-leftover,leftover_source_import,30,0,3,1.0,0.9090909090909091
2.2.5,argparse,docopt,3,fault-inject,leftover_source_call,5,0,0,1.0,1.0
2.2.5,argparse,docopt,3,fault-inject,leftover_source_import,8,0,0,1.0,1.0
2.2.5,argparse,docopt,3,fault-inject,mixed_source_target_assignment,3,0,0,1.0,1.0
2.2.5,argparse,docopt,3,pre-leftover,leftover_source_call,3,0,0,1.0,1.0
2.2.5,argparse,docopt,3,pre-leftover,leftover_source_import,3,0,0,1.0,1.0
2.2.5,flask,bottle,1,fault-inject,leftover_source_import,1,0,0,1.0,1.0
2.2.5,flask,bottle,1,pre-leftover,leftover_source_call,1,0,0,1.0,1.0
2.2.5,flask,bottle,1,pre-leftover,leftover_source_import,4,0,3,1.0,0.5714285714285714
2.2.5,flask,fastapi,2,fault-inject,leftover_source_call,2,0,0,1.0,1.0
2.2.5,flask,fastapi,2,fault-inject,leftover_source_import,4,0,0,1.0,1.0
2.2.5,flask,fastapi,2,fault-inject,mixed_source_target_assignment,2,0,0,1.0,1.0
2.2.5,flask,fastapi,2,pre-leftover,leftover_source_call,2,0,0,1.0,1.0
2.2.5,flask,fastapi,2,pre-leftover,leftover_source_import,2,0,1,1.0,0.6666666666666666
2.2.5,flask,quart,6,fault-inject,leftover_source_call,14,0,5,1.0,0.7368421052631579
2.2.5,flask,quart,6,fault-inject,leftover_source_import,29,0,0,1.0,1.0
2.2.5,flask,quart,6,fault-inject,missing_await,20,0,0,1.0,1.0
2.2.5,flask,quart,6,fault-inject,mixed_source_target_assignment,6,0,0,1.0,1.0
2.2.5,flask,quart,6,pre-leftover,leftover_source_call,46,0,2,1.0,0.9583333333333334
2.2.5,flask,quart,6,pre-leftover,leftover_source_import,12,0,19,1.0,0.3870967741935484
